event_source_concept_id,target_concept_id
15255-3,1201
15256-1,1201
15257-9,1201
15258-7,1201
15259-5,1201
15260-3,1201
15261-1,1201
15262-9,1201
15263-7,1201
15264-5,1201
15265-2,1201
15266-0,1201
15267-8,1201
15268-6,1201
15269-4,1201
15270-2,1201
15271-0,1201
15272-8,1201
15273-6,1201
15274-4,1201
15275-1,1201
15276-9,1201
15278-5,1205
15279-3,1205
15280-1,1205
15283-5,1204
15284-3,1204
15285-0,1204
153-7,270
15336-1,277
15337-9,277
15338-7,277
15339-5,1204
15340-3,1204
15341-1,1204
15342-9,967
15343-7,1141
15344-5,1149
15350-2,1511
15359-3,1020
15361-9,182
15363-5,1657
15366-8,659
15372-6,1668
15377-5,3779
15378-3,280
15388-2,5253
154-5,270
15400-5,163
15410-4,3777
15432-8,701
155-2,277
15518-4,1204
15519-2,1204
15520-0,968
15521-8,1204
15523-4,1204
15524-2,1204
15525-9,1204
15526-7,1205
15527-5,1205
15528-3,1205
15529-1,1205
15530-9,1204
15532-5,968
15533-3,968
15534-1,1205
15535-8,1204
15536-6,1205
15539-0,1205
15540-8,1204
15541-6,1205
15542-4,1204
15543-2,1205
15545-7,1204
15546-5,1204
15547-3,1205
15548-1,1204
15549-9,1204
15550-7,1204
15551-5,1205
15552-3,1204
15553-1,1205
15554-9,1205
15555-6,1205
15556-4,1204
15557-2,1205
15558-0,1205
15559-8,1204
15560-6,1204
15561-4,1205
15562-2,1205
15563-0,1205
15564-8,1205
15565-5,1205
15566-3,1205
15567-1,1205
15568-9,1204
15569-7,1205
15570-5,967
15571-3,1204
15572-1,1205
15573-9,1205
15574-7,1205
15576-2,1205
15577-0,1205
15579-6,1204
15580-4,1205
15581-2,1204
15583-8,1205
15584-6,1204
15585-3,1204
15586-1,1205
15587-9,1205
15588-7,1205
15589-5,1205
15590-3,1204
15591-1,1205
15592-9,1204
15593-7,967
15594-5,1204
15595-2,1204
15596-0,1205
15597-8,1205
15598-6,1204
15601-8,1205
15602-6,1205
15603-4,1204
15604-2,1205
15605-9,1205
15606-7,1205
15607-5,1205
15609-1,1204
15611-7,1205
15612-5,1205
15613-3,1204
15614-1,1204
15615-8,1204
15616-6,1204
15617-4,1204
15618-2,1205
15619-0,1204
15620-8,1204
15621-6,1205
15622-4,1205
15623-2,1205
15624-0,1205
15625-7,1205
15626-5,1205
15627-3,1205
15628-1,1205
15629-9,1205
15630-7,1204
15632-3,1204
15633-1,1204
15634-9,1205
15635-6,1205
15636-4,1204
15637-2,968
15638-0,1204
15640-6,968
15641-4,1205
15642-2,1204
15643-0,1205
15644-8,1205
15645-5,1204
15646-3,1205
15649-7,1205
15650-5,1205
15651-3,1205
15652-1,1205
15653-9,1205
15654-7,1205
15655-4,1204
15656-2,1204
15657-0,1204
15658-8,1204
15659-6,1204
15660-4,1204
15661-2,1204
15663-8,1205
15664-6,1205
15665-3,1205
15666-1,1204
15667-9,1205
15668-7,1205
15669-5,1204
15670-3,1204
15671-1,1204
15672-9,1204
15673-7,1204
15674-5,1204
15675-2,1204
